City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,tura,25.5198,90.2201,25.0,46,21,3.5,IN,1712253551
212,taulaga,-11.0553,-171.0883,29.43,74,54,3.77,AS,1712253551
213,chonchi,-42.6128,-73.8092,16.18,60,78,1.62,CL,1712253551
214,pilar,-9.5972,-35.9567,24.96,69,81,3.7,BR,1712253541
215,rongelap,11.1635,166.8941,26.91,76,100,9.03,MH,1712253551
216,airuk,7.2772,168.8203,27.51,78,13,8.09,MH,1712253551
217,de queen,34.0379,-94.3413,22.25,27,0,4.12,US,1712253552
218,caribou,46.8606,-68.012,1.26,76,100,9.77,US,1712253552
219,east aurora,42.7678,-78.6134,4.89,93,95,1.34,US,1712253290
220,jamestown,42.097,-79.2353,3.77,98,100,4.12,US,1712253505
221,palikir - national government center,6.9248,158.1611,24.41,94,75,2.06,FM,1712253552
222,lata,40.1629,-8.3327,17.26,56,100,3.2,PT,1712253552
223,garoowe,8.4054,48.4845,26.1,65,92,9.11,SO,1712253255
224,tolanaro,-25.0319,46.9987,25.04,88,20,7.2,MG,1712253552
225,tondano,1.3038,124.9112,21.05,98,100,0.46,ID,1712253552
226,nova olimpia,-14.7972,-57.2881,33.78,52,42,1.03,BR,1712253552
227,makhambet,47.6667,51.5833,12.13,70,93,3.02,KZ,1712253553
228,khandyga,62.6667,135.6,-6.76,97,97,2.6,RU,1712253553
229,ciutadella,40.0011,3.8414,17.45,75,2,5.02,ES,1712253553
230,sharm el-sheikh,27.8518,34.305,30.08,28,0,3.09,EG,1712253399
231,tughyl,47.7252,84.2063,2.18,74,29,1.04,KZ,1712253553
232,dalandzadgad,43.5708,104.425,6.79,45,68,1.81,MN,1712253553
233,suva,-18.1416,178.4415,25.71,94,75,1.54,FJ,1712253290
234,usinsk,65.9939,57.5281,-3.85,97,100,4.47,RU,1712253553
235,kijang,35.2442,129.2139,10.85,65,100,5.84,KR,1712253553
236,ulladulla,-35.35,150.4667,17.09,82,100,5.42,AU,1712253554
237,mayqayyng,51.4625,75.7986,9.56,46,1,1.51,KZ,1712253554
238,antsiranana,-12.2787,49.2917,26.65,83,73,6.53,MG,1712253554
239,ilhabela,-23.7781,-45.3581,27.23,74,5,2.04,BR,1712253554
240,alghero,40.5589,8.3181,16.05,77,0,3.6,IT,1712253280
241,nova vicosa,-17.8919,-39.3719,28.58,72,21,3.76,BR,1712253554
242,ilulissat,69.2167,-51.1,-5.88,90,100,1.82,GL,1712253554
243,sarupathar,26.1984,93.8094,20.42,81,35,1.71,IN,1712253554
244,sisimiut,66.9395,-53.6735,-2.74,82,35,5.64,GL,1712253554
245,mambolo,8.9231,-13.0444,30.16,66,16,4.67,SL,1712253554
246,daru,-9.0763,143.2092,25.69,90,94,2.36,PG,1712253555
247,buka,40.8108,69.1986,14.7,55,99,3.67,UZ,1712253555
248,spring creek,40.7266,-115.5859,14.61,41,63,5.81,US,1712253555
249,okhotsk,59.3833,143.3,-11.1,82,27,4.45,RU,1712253555
250,san patricio,28.017,-97.5169,30.05,22,0,2.56,US,1712253555
251,porto novo,6.4965,2.6036,31.9,73,56,3.86,BJ,1712253555
252,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.82,PT,1712253555
253,chakari,-18.0629,29.8925,27.16,37,95,3.16,ZW,1712253555
254,port lincoln,-34.7333,135.8667,14.15,75,17,5.94,AU,1712253555
255,kasongo-lunda,-6.4667,16.8167,23.21,94,97,0.06,CD,1712253556
256,yuto,-23.6434,-64.4719,29.13,74,77,0.89,AR,1712253556
257,xining,36.6167,101.7667,7.45,49,100,4.46,CN,1712253556
258,ghat,24.9647,10.1728,29.67,9,90,6.13,LY,1712253556
259,hawera,-39.5917,174.2833,13.46,84,45,2.55,NZ,1712253556
260,kalanchak,46.2562,33.2907,10.67,71,84,3.95,UA,1712253556
261,vernon,50.2581,-119.2691,8.34,50,100,2.06,CA,1712253311
262,knightdale,35.7877,-78.4806,14.56,47,93,8.61,US,1712253556
263,acarau,-2.8856,-40.12,29.29,72,64,3.89,BR,1712253556
264,ulsan,35.5372,129.3167,9.33,76,100,2.31,KR,1712253556
265,mongo,12.1844,18.693,34.38,9,83,3.06,TD,1712253557
266,khorixas,-20.3667,14.9667,24.71,57,33,5.58,NA,1712253557
267,beyneu,45.3167,55.2,16.92,30,100,6.09,KZ,1712253557
268,la passe,45.5549,-0.8967,19.13,78,99,4.22,FR,1712253557
269,kerema,-7.9631,145.7785,25.81,87,100,1.5,PG,1712253557
270,muli,2.9167,73.5667,28.3,74,85,1.8,MV,1712253557
271,sekong,-6.3996,106.0252,24.57,98,100,1.16,ID,1712253557
272,tazacorte,28.629,-17.9293,22.54,80,0,3.6,ES,1712253557
273,hermosillo,29.0667,-110.9667,30.16,19,0,2.87,MX,1712253553
274,wynyard,-41.0,145.7167,9.57,80,35,2.18,AU,1712253558
275,leer,53.2316,7.461,11.67,89,94,4.72,DE,1712253558
276,dubna,56.7333,37.1667,-0.43,75,100,2.49,RU,1712253558
277,lihue,21.9789,-159.3672,23.58,73,75,8.23,US,1712253428
278,kununurra,-15.7667,128.7333,24.99,53,76,3.09,AU,1712253487
279,nemuro,43.3236,145.575,1.29,91,99,3.27,JP,1712253558
280,assare,-6.8744,-39.875,30.74,51,71,1.68,BR,1712253558
281,mata-utu,-13.2816,-176.1745,28.84,76,100,5.95,WF,1712253558
282,penzance,50.1186,-5.5371,12.38,94,100,11.61,GB,1712253558
283,tupa,-21.9347,-50.5136,31.54,43,47,1.71,BR,1712253346
284,sambava,-14.2667,50.1667,26.21,88,67,6.16,MG,1712253559
285,kimbe,-5.5502,150.1429,24.59,90,94,1.64,PG,1712253559
286,merizo village,13.2658,144.6691,26.85,85,98,8.81,GU,1712253559
287,whitehorse,60.7161,-135.0538,1.17,53,0,1.54,CA,1712253292
288,carutapera,-1.195,-46.02,29.44,69,85,3.51,BR,1712253559
289,turtas,58.9417,69.1325,7.62,91,68,3.95,RU,1712253559
290,vorkuta,67.5,64.0,-12.16,92,100,4.47,RU,1712253502
291,kasane,-17.8167,25.15,28.23,36,99,2.34,BW,1712253560
292,chhor,25.5167,69.7667,29.88,21,99,6.95,PK,1712253560
293,banfora,10.6333,-4.7667,37.77,21,38,3.02,BF,1712253560
294,sungai raya,0.7,108.9,26.64,88,100,2.99,ID,1712253560
295,pastos bons,-6.6017,-44.0767,30.05,67,44,2.04,BR,1712253560
296,berdigestyakh,62.0989,126.6992,-5.45,90,28,3.84,RU,1712253560
297,bengkulu,-3.8004,102.2655,25.49,92,100,2.01,ID,1712253560
298,yoloten,37.2989,62.3597,19.52,27,7,3.99,TM,1712253560
299,cabo san lucas,22.8909,-109.9124,28.12,48,37,3.7,MX,1712253461
300,byelaazyorsk,52.4731,25.1784,7.34,69,92,3.15,BY,1712253561
301,minas de marcona,-15.2119,-75.1103,23.48,53,33,7.74,PE,1712253561
302,longyearbyen,78.2186,15.6401,-9.09,86,75,8.75,SJ,1712253400
303,ebebiyin,2.1511,11.3353,21.67,97,100,2.05,GQ,1712253561
304,sao sebastiao do paraiso,-20.9169,-46.9914,26.87,67,25,1.02,BR,1712253377
305,wagar,16.1525,36.2032,34.73,14,47,1.63,SD,1712253561
306,juan griego,11.0817,-63.9655,31.29,61,15,6.54,VE,1712253561
307,ilha de mocambique,-15.0342,40.7358,28.66,79,8,3.66,MZ,1712253561
308,hobyo,5.3505,48.5268,28.96,76,31,7.39,SO,1712253561
309,calilegua,-23.7737,-64.77,27.3,66,65,2.63,AR,1712253561
310,fortaleza,-3.7227,-38.5247,30.6,91,75,3.09,BR,1712253493
311,shumikha,55.2261,63.2961,3.42,97,21,4.57,RU,1712253562
312,atar,20.5169,-13.0499,38.67,6,1,3.84,MR,1712253562
313,paradip garh,20.3167,86.6167,28.01,76,16,7.45,IN,1712253562
314,aoulef,26.9667,1.0833,30.83,10,0,6.85,DZ,1712253562
315,nantucket,41.2835,-70.0995,8.08,97,100,13.89,US,1712253562
316,port douglas,-16.4833,145.4667,25.51,84,80,1.12,AU,1712253562
317,bataipora,-22.2953,-53.2711,34.19,35,74,3.13,BR,1712253562
318,tazovsky,67.4667,78.7,-24.04,99,60,2.99,RU,1712253563
319,padampur,29.6833,73.6167,26.22,20,93,5.59,IN,1712253563
320,formosa do rio preto,-11.0483,-45.1931,23.9,93,91,0.81,BR,1712253563
321,gisborne,-38.6533,178.0042,16.0,84,42,2.39,NZ,1712253563
322,marang,5.2056,103.2059,26.95,81,3,1.35,MY,1712253563
323,san carlos,9.6612,-68.5827,36.77,32,100,1.64,VE,1712253563
324,al kharijah,25.4514,30.5464,30.0,16,21,4.55,EG,1712253563
325,fort mcmurray,56.7268,-111.381,-0.23,69,100,4.12,CA,1712253509
326,severo-yeniseyskiy,60.3725,93.0408,-16.9,99,90,1.79,RU,1712253563
327,birsk,55.4211,55.5428,5.57,96,32,4.7,RU,1712253563
